id,email,pid,start,end,duration,status
37,test01@yorku.ca,1,24/04/2021 21:06:59,24/04/2021 21:08:59,60,0
38,test01@yorku.ca,1,24/04/2021 21:11:32,24/04/2021 22:11:32,60,0
39,test01@yorku.ca,1,25/04/2021 03:50:06,25/04/2021 03:52:06,60,0
40,test01@yorku.ca,2,25/04/2021 03:50:06,25/04/2021 03:52:06,60,0
41,test01@yorku.ca,1,25/04/2021 03:51:19,25/04/2021 03:53:19,60,0
42,test01@yorku.ca,2,25/04/2021 03:51:20,25/04/2021 03:53:20,60,0
43,test01@yorku.ca,1,25/04/2021 13:10:21,25/04/2021 14:10:21,60,0
44,test01@yorku.ca,2,25/04/2021 13:10:21,25/04/2021 14:10:21,60,0
45,test01@yorku.ca,1,25/04/2021 13:11:11,25/04/2021 14:11:11,60,0
46,test01@yorku.ca,2,25/04/2021 13:11:11,25/04/2021 14:11:11,60,0
47,test01@yorku.ca,1,25/04/2021 13:27:46,25/04/2021 13:57:46,30,0
48,test01@yorku.ca,2,25/04/2021 13:27:46,25/04/2021 13:57:46,30,0
49,test01@yorku.ca,1,25/04/2021 13:28:27,25/04/2021 13:58:27,30,0
50,test01@yorku.ca,2,25/04/2021 13:28:27,25/04/2021 13:58:27,30,0
51,test01@yorku.ca,1,25/04/2021 13:28:34,25/04/2021 14:28:34,60,0
52,test01@yorku.ca,2,25/04/2021 13:28:34,25/04/2021 14:28:34,60,0
53,test01@yorku.ca,1,25/04/2021 13:28:34,25/04/2021 13:58:34,30,0
54,test01@yorku.ca,2,25/04/2021 13:28:34,25/04/2021 13:58:34,30,0
55,test01@yorku.ca,1,25/04/2021 13:33:50,25/04/2021 14:03:50,30,0
56,test01@yorku.ca,2,25/04/2021 13:33:50,25/04/2021 14:03:50,30,0
57,test01@yorku.ca,1,25/04/2021 13:36:10,25/04/2021 14:06:10,30,0
58,test01@yorku.ca,2,25/04/2021 13:36:10,25/04/2021 14:06:10,30,0
59,test01@yorku.ca,1,25/04/2021 13:39:55,25/04/2021 14:09:55,30,0
60,test01@yorku.ca,2,25/04/2021 13:39:55,25/04/2021 14:09:55,30,0
61,test01@yorku.ca,1,25/04/2021 13:40:07,25/04/2021 14:40:07,60,0
62,test01@yorku.ca,2,25/04/2021 13:40:07,25/04/2021 14:40:07,60,0
63,test01@yorku.ca,1,25/04/2021 13:40:07,25/04/2021 14:10:07,30,0
64,test01@yorku.ca,2,25/04/2021 13:40:07,25/04/2021 14:10:07,30,0
65,test01@yorku.ca,1,25/04/2021 13:41:09,25/04/2021 14:41:09,60,0
66,test01@yorku.ca,2,25/04/2021 13:41:09,25/04/2021 14:41:09,60,0
67,test01@yorku.ca,1,25/04/2021 13:41:09,25/04/2021 14:11:09,30,0
68,test01@yorku.ca,2,25/04/2021 13:41:09,25/04/2021 14:11:09,30,0
69,test01@yorku.ca,1,25/04/2021 13:46:57,25/04/2021 14:46:57,60,0
70,test01@yorku.ca,2,25/04/2021 13:46:57,25/04/2021 14:46:57,60,0
71,test01@yorku.ca,1,25/04/2021 13:46:57,25/04/2021 14:16:57,30,0
72,test01@yorku.ca,2,25/04/2021 13:46:57,25/04/2021 14:16:57,30,0
73,test01@yorku.ca,1,25/04/2021 13:48:22,25/04/2021 14:48:22,60,0
74,test01@yorku.ca,2,25/04/2021 13:48:22,25/04/2021 14:48:22,60,0
75,test01@yorku.ca,1,25/04/2021 13:48:22,25/04/2021 14:18:22,30,0
76,test01@yorku.ca,2,25/04/2021 13:48:22,25/04/2021 14:18:22,30,0
77,test01@yorku.ca,1,25/04/2021 13:58:25,25/04/2021 14:58:25,60,0
78,test01@yorku.ca,2,25/04/2021 13:58:25,25/04/2021 14:58:25,60,0
79,test01@yorku.ca,1,25/04/2021 13:58:25,25/04/2021 14:28:25,30,0
80,test01@yorku.ca,2,25/04/2021 13:58:25,25/04/2021 14:28:25,30,0
81,test01@yorku.ca,1,25/04/2021 16:31:11,25/04/2021 17:31:11,60,0
82,test01@yorku.ca,2,25/04/2021 16:31:11,25/04/2021 17:31:11,60,0
83,test01@yorku.ca,1,25/04/2021 19:50:22,25/04/2021 20:50:22,60,0
84,test01@yorku.ca,2,25/04/2021 19:49:41,25/04/2021 19:51:41,60,0
85,test01@yorku.ca,1,25/04/2021 19:55:49,25/04/2021 19:57:49,60,0
86,test01@yorku.ca,2,25/04/2021 19:55:54,25/04/2021 19:57:54,60,0
87,test01@yorku.ca,1,25/04/2021 19:58:52,25/04/2021 20:00:52,20,0
88,test01@yorku.ca,1,25/04/2021 20:08:56,25/04/2021 20:10:56,60,0
89,test01@yorku.ca,1,15/06/2021 16:11:53,15/06/2021 17:11:53,60,0
90,test01@yorku.ca,2,15/06/2021 16:11:53,15/06/2021 17:11:53,60,0
91,test01@yorku.ca,1,15/06/2021 16:12:14,15/06/2021 17:12:14,60,0
92,test01@yorku.ca,2,15/06/2021 16:12:14,15/06/2021 17:12:14,60,0
93,test01@yorku.ca,1,15/06/2021 16:12:27,15/06/2021 17:12:27,60,0
94,test01@yorku.ca,2,15/06/2021 16:12:27,15/06/2021 17:12:27,60,0
95,test01@yorku.ca,1,15/06/2021 16:24:49,15/06/2021 17:24:49,60,0
96,test01@yorku.ca,2,15/06/2021 16:24:49,15/06/2021 17:24:49,60,0
97,test01@yorku.ca,1,11/07/2021 21:02:49,11/07/2021 22:02:49,60,0
98,test01@yorku.ca,2,11/07/2021 21:02:49,11/07/2021 22:02:49,60,0
99,test01@yorku.ca,1,11/07/2021 21:02:49,11/07/2021 21:32:49,30,0
100,test01@yorku.ca,2,11/07/2021 21:02:49,11/07/2021 21:32:49,30,0
